"","bResult","blueTop"
"252",1,"Smittyj"
"253",1,"Hauntzer"
"254",0,"kfo"
"255",1,"Huni"
"256",1,"Seraph"
"257",0,"Hauntzer"
"258",0,"Lourlo"
"259",1,"BillyBoss"
"260",1,"Hauntzer"
"261",0,"Impact"
"262",0,"Darshan"
"263",0,"Solo"
"264",0,"RF Legendary"
"265",1,"Seraph"
"266",0,"Balls"
"267",1,"Lourlo"
"268",1,"Darshan"
"269",1,"Huni"
"270",1,"Lourlo"
"271",1,"Impact"
"272",0,"BillyBoss"
"273",0,"Solo"
"274",1,"Darshan"
"275",1,"Lourlo"
"276",1,"Balls"
"277",0,"Darshan"
"278",1,"Hauntzer"
"279",1,"Impact"
"280",1,"Huni"
"281",1,"Balls"
"282",0,"Flaresz"
"283",0,"Feng"
"284",1,"BillyBoss"
"285",1,"kfo"
"286",0,"Impact"
"287",1,"Balls"
"288",0,"Feng"
"289",1,"Huni"
"290",1,"kfo"
"291",0,"Darshan"
"292",1,"Huni"
"293",1,"Lourlo"
"294",0,"BillyBoss"
"295",1,"Impact"
"296",0,"RF Legendary"
"297",0,"Hauntzer"
"298",1,"Darshan"
"299",0,"Lourlo"
"300",0,"RF Legendary"
"301",1,"BillyBoss"
"302",0,"Impact"
"303",0,"Feng"
"304",0,"Lourlo"
"305",0,"Feng"
"306",0,"kfo"
"307",0,"Huni"
"308",1,"Impact"
"309",1,"Balls"
"310",1,"Feng"
"311",0,"Balls"
"312",1,"Lourlo"
"313",1,"Seraph"
"314",1,"Huni"
"315",0,"Seraph"
"316",1,"Huni"
"317",0,"Darshan"
"318",1,"Hauntzer"
"319",1,"kfo"
"320",1,"Balls"
"321",1,"Impact"
"322",0,"Hauntzer"
"323",0,"BillyBoss"
"324",0,"kfo"
"325",0,"Feng"
"326",1,"Darshan"
"327",1,"Huni"
"328",0,"BillyBoss"
"329",1,"Balls"
"330",1,"Seraph"
"331",1,"Lourlo"
"332",0,"Feng"
"333",1,"Darshan"
"334",0,"Hauntzer"
"335",0,"Feng"
"336",1,"Hauntzer"
"337",0,"Darshan"
"338",1,"Seraph"
"339",1,"Quas"
"340",1,"Seraph"
"341",0,"Impact"
"342",0,"Huni"
"343",0,"Impact"
"344",1,"Seraph"
"345",0,"Lourlo"
"346",1,"Ray"
"347",1,"Darshan"
"348",1,"Ray"
"349",1,"kfo"
"350",1,"Impact"
"351",0,"kfo"
"352",1,"kfo"
"353",0,"zig"
"354",1,"Ray"
"355",0,"Quas"
"356",1,"Hauntzer"
"357",0,"Lourlo"
"358",1,"Huni"
"359",0,"zig"
"360",1,"Quas"
"361",1,"Huni"
"362",0,"Quas"
"363",0,"Ray"
"364",0,"Seraph"
"365",0,"Ray"
"366",1,"Lourlo"
"367",1,"Darshan"
"368",0,"Lourlo"
"369",0,"zig"
"370",0,"Impact"
"371",0,"zig"
"372",1,"Hauntzer"
"373",1,"Huni"
"374",1,"Hauntzer"
"375",0,"kfo"
"376",1,"Lourlo"
"377",1,"Quas"
"378",0,"kfo"
"379",1,"Hauntzer"
"380",0,"Ray"
"381",1,"Seraph"
"382",0,"Brandini"
"383",0,"Darshan"
"384",1,"Impact"
"385",0,"Impact"
"386",0,"Hauntzer"
"387",0,"Impact"
"388",1,"Lourlo"
"389",0,"zig"
"390",1,"Huni"
"391",0,"Seraph"
"392",1,"Lourlo"
"393",1,"Quas"
"394",1,"Lourlo"
"395",0,"Quas"
"396",1,"Hauntzer"
"397",0,"kfo"
"398",1,"Huni"
"399",1,"Darshan"
"400",0,"kfo"
"401",0,"zig"
"402",0,"Ray"
"403",0,"zig"
"404",0,"Ray"
"405",0,"Impact"
"406",0,"Ray"
"407",1,"Darshan"
"408",1,"Seraph"
"409",0,"Darshan"
"410",1,"Darshan"
"411",1,"Huni"
"412",0,"Darshan"
"413",1,"Lourlo"
"414",0,"Ray"
"415",1,"Impact"
"416",0,"Seraph"
"417",1,"Huni"
"418",0,"Lourlo"
"419",1,"Impact"
"420",0,"Quas"
"421",0,"zig"
"422",1,"Darshan"
"423",0,"Hauntzer"
"424",0,"kfo"
"425",1,"Hauntzer"
"426",1,"Quas"
"427",1,"zig"
"428",1,"Quas"
"429",0,"Seraph"
"430",1,"Hauntzer"
"431",1,"Ray"
"432",0,"kfo"
"433",1,"Impact"
"434",1,"Lourlo"
"435",0,"Impact"
"436",1,"kfo"
"437",1,"Seraph"
"438",0,"kfo"
"439",0,"Quas"
